machine,cc,param,type,discrete_count,notes
# Per-machine CC parameter audit derived from Analog Rytm MKII User Manual OS 1.72
# (docs/Analog-Rytm-MKII-User-Manual_ENG_OS1.72.pdf, Appendix C + D).
#
# type column:
#   linear   - standard 0-127, value rises monotonically
#   bipolar  - knob is bipolar; MIDI 64 is the musical zero. Cap GA ranges CENTERED on 64.
#   discrete - finite set of values; sample uniformly across the set (count if known)
#
# All BD/SD/RS tracks share the same FILTER (CC 70-77), AMP (CC 78-83, 10, 7), and
# LFO (CC 102-109) implementations. See FILTER/AMP/LFO sections at bottom.
#
# Machine numbers (0-based MIDI) referenced from synthesizer/midicontrol.py.
#
# === UNIVERSAL MACHINES (any track) ===
UT NOISE,16,Level,linear,,
UT NOISE,17,LP Frequency,linear,,
UT NOISE,18,Decay,linear,,
UT NOISE,19,Sweep Depth,bipolar,,negative and positive sweeps both possible
UT NOISE,20,Sweep Time,linear,,
UT NOISE,21,LP Resonance,linear,,
UT NOISE,22,HP Frequency,linear,,
UT NOISE,23,Attack,linear,,
UT IMPULSE,16,Level,linear,,
UT IMPULSE,17,Attack,linear,,
UT IMPULSE,18,Decay,linear,,
UT IMPULSE,19,Polarity,discrete,2,POS / NEG
# DISABLE has no synth parameters; SRC page is empty.
#
# === BASS DRUM MACHINES (BD/SD/RS/CP tracks) ===
BD HARD,16,Level,linear,,
BD HARD,17,Tune,bipolar,,in semitones
BD HARD,18,Decay,linear,,
BD HARD,19,Hold,linear,,
BD HARD,20,Sweep Time,linear,,
BD HARD,21,Sweep Depth,bipolar,,depth fixed in BD HARD per Appendix D
BD HARD,22,Waveform,discrete,3,sine / asym sine / triangle
BD HARD,23,Transient Tick,linear,,
BD CLASSIC,16,Level,linear,,
BD CLASSIC,17,Tune,bipolar,,in semitones
BD CLASSIC,18,Decay,linear,,
BD CLASSIC,19,Hold,linear,,
BD CLASSIC,20,Sweep Time,linear,,
BD CLASSIC,21,Sweep Depth,bipolar,,
BD CLASSIC,22,Waveform,discrete,3,sine / asym sine / triangle
BD CLASSIC,23,Transient Tick,linear,,Appendix D says "TRA (Transient)" — tick or noise transient sound and its level
BD FM,16,Level,linear,,
BD FM,17,Tune,bipolar,,modulated osc
BD FM,18,Decay,linear,,modulated osc decay = whole drum sound
BD FM,19,FM Amount,linear,,explicitly 0-127 per manual
BD FM,20,Sweep Time,linear,,
BD FM,21,FM Sweep Time,linear,,modulating osc
BD FM,22,FM Decay Time,linear,,modulating osc decay
BD FM,23,FM Tune,bipolar,,modulating osc pitch
BD PLASTIC,16,Level,linear,,Appendix C and D disagree; trust C (MIDI spec) — D mentions TYP/MOD instead
BD PLASTIC,17,Tune,bipolar,,
BD PLASTIC,18,Decay Time,linear,,
BD PLASTIC,19,Sweep Depth,bipolar,,
BD PLASTIC,20,Sweep Time,linear,,
BD PLASTIC,21,Hold Time,linear,,
BD PLASTIC,22,VCO Click,linear,,
